"","Name","Location","Started on","Notes","Region","URL","Latnum  in miles","Longnum"
"35","Rutland Water Parkrun","Rutland Water, Rutland","24 Oct 2015","An out and back along the reservoir","East Midlands","/wiki/Rutland_Water","52.6666666666667","-0.666666666666667"
"36","Sherwood Pines Parkrun","Mansfield, Notts","24 Oct 2015","A forest run starting and finishing at Go Ape Sherwood","East Midlands","/wiki/Mansfield","53.15","-1.2"
"37","Shipley Country	Parkrun","Heanor, Derbyshire","25 Feb 2017","At Shipley Country Park on a mixture of trail, tarmac and gravel paths[47]","East Midlands","/wiki/Heanor","53.0136111111111","-1.35388888888889"
"38","Sixfields Upton	Parkrun","Upton, Northants","24 Feb 2018","At Upton Country Park","East Midlands","/wiki/Upton,_Northamptonshire","52.2352777777778","-0.951944444444444"
"39","Watermeadows Parkrun","Towcester, Northants","16 Feb 2019","At Watermeadows, bordering the River Tove. The Parkrun is entirely on grass","East Midlands","/wiki/Towcester,_Northamptonshire","52.1333333333333","-0.983333333333333"
"40","Aldenham Parkrun","Elstree, Herts","20 Jun 2015","At Aldenham Country Park","East of England","/wiki/Elstree","51.6333333333333","-0.3"
"41","Barclay Parkrun","Hoddesdon, Herts","6 Jun 2015","At Barclay Park","East of England","/wiki/Hoddesdon","51.7588888888889","-0.015"
"42","Basildon Parkrun","Basildon, Essex","5 Apr 2014","Three laps on grass and footpaths at Northlands Park","East of England","/wiki/Basildon","51.5761111111111","0.488611111111111"
"43","Bedford	Parkrun","Bedford, Bedfordshire","11 Jun 2011","A flat, fast run at Bedford Park on compacted surface","East of England","/wiki/Bedford","52.135","-0.47"
"44","Billericay Parkrun","Billericay, Essex","24 Jun 2017","Almost four laps of Lake Meadows Park taking in the lake","East of England","/wiki/Billericay","51.6280555555556","0.418333333333333"
"45","Blickling Parkrun","Blickling, Norfolk","9 Nov 2013","At the National Trust's Blickling Hall with two laps on the mausoleum walk","East of England","/wiki/Blickling","52.8097222222222","1.23138888888889"
"46","Brandon Country Parkrun","Brandon, Suffolk","9 Mar 2013","At Brandon Country Park on a mixture of grass, trail paths, gravel paths and sand","East of England","/wiki/Brandon,_Suffolk","52.4475","0.624166666666667"
"47","Brentwood Parkrun","Brentwood, Essex","6 Dec 2014","At Weald Country Park, one lap including the steep Heartbreak Hill","East of England","/wiki/Brentwood,_Essex","51.6202777777778","0.305"
"48","Brundall Parkrun","Brundall, Norfolk","20 Jun 2015","At Brundall Countryside Park near Blundall railway station","East of England","/wiki/Brundall","52.6244444444444","1.43361111111111"
"49","Burnham-on-Crouch Parkrun","Burnham-on-Crouch, Essex","22 Jul 2017","Taking in the River Crouch and the Harbour","East of England","/wiki/Burnham-on-Crouch","51.6283333333333","0.814444444444445"
"50","Bury St Edmunds Parkrun","Nowton, Suffolk","29 Jun 2013","At Nowton park on the southern edge of Bury St Edmunds","East of England","/wiki/Nowton","52.215","0.733055555555556"
"51","Cambridge Parkrun","Milton, Cambridge","30 Jan 2010","At Milton Country Park, lots of twisty turns, flat, some narrow sections and regular 400+ field","East of England","/wiki/Milton,_Cambridgeshire","52.2433333333333","0.161388888888889"
"52","Cassiobury Parkrun","Watford, Herts","28 Feb 2015","Two and a half laps of Cassiobury Park all on tarmac","East of England","/wiki/Watford","51.655","-0.23"
"53","Castle Park Parkrun","Bishop's Stortford, Herts","30 Sep 2017","At Castle Park near the town centre, flat with some narrow sections and a regular 250+field","East of England","/wiki/Bishop%27s_Stortford","51.8719444444444","0.1725"
"54","Catton Parkrun","Norwich, Norfolk","5 Oct 2013","At Catton Park starting near Hayman Lodge on a mixture of surfaces","East of England","/wiki/Norwich","52.6","1.3"
"55","Chelmsford Central Parkrun","Chelmsford, Essex","19 Jan 2013","At both Central Park and adjacent Admirals Park following the River Can","East of England","/wiki/Chelmsford","51.7361111111111","0.479722222222222"
"56","Clacton Seafront Parkrun","Clacton-on-Sea, Essex","15 Jan 2016","Along the promenade entirely on tarmac turning around at Clacton Pier","East of England","/wiki/Clacton-on-Sea","51.7916666666667","1.14583333333333"
"57","Clare Castle Parkrun","Clare, Suffolk","30 Sep 2017","At Clare Castle Country Park starting at Clare Castle","East of England","/wiki/Clare,_Suffolk","52.0833333333333","0.583333333333333"
"58","Coldham's Common Parkrun","Cambridge, Cambridgeshire","29 Sep 2018","At Coldham's Common and mostly on grass","East of England","/wiki/Cambridge","52.205","0.118888888888889"
"59","Colchester Castle Parkrun","Colchester, Essex","6 Jun 2013","At Castle Park passing Colchester Castle and entirely on footpaths","East of England","/wiki/Colchester","51.8916666666667","0.903055555555556"
"60","Colney Lane Parkrun","Colney, Norfolk","9 Dec 2017","At Colney Lane Playing Fields which are owned by the University of East Anglia","East of England","/wiki/Colney","52.6252777777778","1.22166666666667"
"61","Dunstable Downs Parkrun","Dunstable, Beds","23 Feb 2019","Starts and finishes at Chiltern Gateway Centre. Run on grass and trails","East of England","/wiki/Dunstable","51.8861111111111","-0.521111111111111"
"62","Ellenbrook Fields Parkrun","Hatfield, Herts","21 May 2016","At the University of Hertfordshire Sports Village mostly on grass","East of England","/wiki/Hatfield,_Hertfordshire","51.7619444444444","-0.228055555555556"
"63","Felixstowe Parkrun","Felixstowe, Suffolk","7 Apr 2018","A flat route run along the promenade[65], starting and finishing at Felixstowe Pier","East of England","/wiki/Felixstowe","51.9638888888889","1.35138888888889"
"64","Fritton Lake Parkrun","Fritton, Norfolk","5 May 2012","At Fritton Lake starting at the outdoor centre","East of England","/wiki/Fritton_(near_Great_Yarmouth)","52.5419444444444","1.63666666666667"
"65","Gadebridge Parkrun","Hemel Hempstead, Herts","2 May 2015","Two loops of the park on a mixture of grass and footpath","East of England","/wiki/Hemel_Hempstead","51.7525","-0.469166666666667"
"66","Gorleston Parkrun","Gorleston, Norfolk","25 Apr 2009","Two laps on the promenade finishing at the bottom of Gorleston Cliffs","East of England","/wiki/Gorleston","52.5758333333333","1.72361111111111"
"67","Great Cornard Parkrun","Great Cornard, Suffolk","1 Mar 2014","At Great Cornard Sports Centre run almost entirely on grass","East of England","/wiki/Great_Cornard","52.0244444444444","0.749722222222222"
