"","Name","Location","Started on","Notes","Region","URL","Latnum  in miles","Longnum"
"177","Newcastle Parkrun","Newcastle, Tyne and Wear","16 Jan 2010","In Exhibition Park","North East England","/wiki/Newcastle_upon_Tyne","54.9666666666667","-1.6"
"178","Prudhoe Riverside Parkrun","Prudhoe, Northumberland","12 Nov 2016","Run along the River Tyne","North East England","/wiki/Prudhoe","54.9611111111111","-1.84888888888889"
"179","Redcar Parkrun","Redcar, North East","28 Apr 2012","At Locke Park mainly on footpaths","North East England","/wiki/Redcar","54.6186111111111","-1.06861111111111"
"180","Rising Sun Parkrun","Newcastle, Tyne and Wear","4 Jun 2016","In The Rising Sun Country Park","North East England","/wiki/Newcastle_upon_Tyne","54.9666666666667","-1.6"
"181","Riverside Parkrun","Chester-le-Street, Durham","14 Jul 2012","Encompasses laps along the River Wear","North East England","/wiki/Chester-le-Street","54.8594444444444","-1.57"
"182","Sedgefield Parkrun","Sedgefield, County Durham","17 Mar 2012","At Hardwick Hall Country Park with two laps of Serpentine Lake","North East England","/wiki/Sedgefield","54.65","-1.45"
"183","South Shields Parkrun","South Shields, Tyne and Wear","20 Apr 2013","Run along the scenic[81] coastal path and promenade","North East England","/wiki/South_Shields","54.9919444444444","-1.42888888888889"
"184","Stewart Parkrun","Middlesbrough, County Durham","7 Jul 2012","In Stewart Park the birthplace of Captain James Cook with the museum nearby","North East England","/wiki/Middlesbrough","54.5766666666667","-1.23555555555556"
"185","Sunderland Parkrun","Sunderland, Tyne and Wear","10 Oct 2009","Located at Silksworth Sports Complex","North East England","/wiki/City_of_Sunderland","54.91","-1.385"
"186","Tees Barrage Parkrun","Teesside, North East","23 Jun 2012","Along the River Tees starting at the Tees Barrage International White Water Course","North East England","/wiki/Teesside","54.5888888888889","-1.1875"
"187","The Pastures","Alnwick, Northumberland","12 Jan 2019","Along north bank of the River Aln, with views of Alnwick Castle.","North East England","/wiki/Alnwick","55.4133333333333","-1.70694444444444"
"188","Whitley Bay Parkrun","Whitley Bay, Northumberland","16 Jun 2012","Run along the promenade","North East England","/wiki/Whitley_Bay","55.0455555555556","-1.44416666666667"
"189","Windy Nook Parkrun","Windy Nook, Tyne and Wear","2 Dec 2017","Located at Windy Nook Nature Reserve","North East England","/wiki/Windy_Nook","54.9383333333333","-1.57083333333333"
"190","Barrow Parkrun","Barrow-In-Furness, Cumbria","24 Sep 2011","An undulating two and a half laps of Barrow Park","North West England","/wiki/Barrow-In-Furness","54.1108333333333","-3.22611111111111"
"191","Birkenhead Parkrun","Birkenhead, Merseyside","18 July 2017","In Birkenhead Park, the first publicly funded Urban park in the world[87][88]","North West England","/wiki/Birkenhead","53.3930555555556","-3.01388888888889"
"192","Black Combe Parkrun","Not applicable","4 Nov 2017","Takes place within the closed grounds of HM Prison Haverigg[90]","North West England",NA,"",""
"193","Blackpool Parkrun","Blackpool, Lancashire","4 Feb 2017","In historic and Grade II* listed Stanley Park","North West England","/wiki/Blackpool","53.8141666666667","-3.05027777777778"
"194","Bolton Parkrun","Bolton, Greater Manchester","5 Feb 2011","In Leverhulme Park which was donated to the town by Lord Leverhulme","North West England","/wiki/Bolton","53.5780555555556","-2.42888888888889"
"195","Bramhall Parkrun","Bramhall, Greater Manchester","19 Apr 2008","Two laps inside Bramhall Park","North West England","/wiki/Bramhall","53.3569444444444","-2.16388888888889"
"196","Burnage Parkrun","Burnage, Manchester","21 July 2012","At Varley Park, running partly along the River Mersey","North West England","/wiki/Burnage","53.4258333333333","-2.21083333333333"
"197","Burnley Parkrun","Burnley, Lancashire","2 Jun 2012","Starts outside Townley Hall","North West England","/wiki/Burnley","53.7888888888889","-2.24805555555556"
"198","Carlisle Parkrun","Carlisle, Cumbria","19 Jan 2013","In Chances Park starting behind Morton Manor","North West England","/wiki/Carlisle,_Cumbria","54.8911111111111","-2.94388888888889"
"199","Chadderton Hall parkrun","Chadderton, Greater Manchester","23 Apr 2016","In Chadderton Hall Park","North West England","/wiki/Chadderton","53.5461111111111","-2.1425"
"200","Cheadle Hulme parkrun","Cheadle Hulme, Gtr Man","28 Jun 2014","Three laps of Bruntwood Park on grass","North West England","/wiki/Cheadle_Hulme","53.3761111111111","-2.18972222222222"
"201","Chester Parkrun","Chester, Cheshire","9 July 2016","In the Countess of Chester Hospital country park","North West England","/wiki/Chester","53.1833333333333","-2.88333333333333"
"202","Clitheroe Castle Parkrun","Clitheroe, Lancs","19 May 2018","Held in the Clitheroe Castle Gardens in front of the 12th century castle. The run is entirely on tarmac paths","North West England","/wiki/Clitheroe","53.8711111111111","-2.39166666666667"
"203","Congleton Parkrun","Congleton, Cheshire","15 Dec 2012","Three laps around Astbury Mere","North West England","/wiki/Congleton","53.1619444444444","-2.21694444444444"
"204","Crewe Parkrun","Crewe, Cheshire","17 Feb 2018","In Queens Park, originally designed by Edward Kemp","North West England","/wiki/Crewe","53.0988888888889","-2.44"
"205","Crosby Parkrun","Crosby, Merseyside","14 Nov 2015","At Crosby Beach passing Sir Antony Gormley's acclaimed sculpture Another Place","North West England","/wiki/Crosby,_Merseyside","53.4872222222222","-3.03416666666667"
"206","Croxteth Hall Parkrun","Croxteth, Merseyside","14 Mar 2015","At historic Croxteth Hall with a single flat lap","North West England","/wiki/Croxteth","53.4480555555556","-2.9075"
"207","Cuerden Valley Parkrun","Bamber Bridge, Lancashire","10 Aug 2013","In the grounds of Cuerden Hall","North West England","/wiki/Bamber_Bridge","53.7280555555556","-2.66055555555556"
"208","Delamere Parkrun","Delamere, Cheshire","2 Mar 2013","One lap of Blakemere Moss in Delamere Forest","North West England","/wiki/Delamere,_Cheshire","53.1333333333333","-2.4"
"209","Fell Foot Parkrun","Windermere, Cumbria","18 Oct 2014","At The National Trust managed Fell Foot Park besides Lake Windermere[93]","North West England","/wiki/Windermere","54.3583333333333","-2.93611111111111"
"210","Fletcher Moss Parkrun","Didsbury, Manchester","17 Nov 2018","One long lap and one short lap around Millgate Fields in Fletcher Moss Park[94][95]","North West England","/wiki/Didsbury","53.4166666666667","-2.23111111111111"
"211","Haigh Woodland Parkrun","Haigh, Greater Manchester","31 Oct 2015","At Haigh Hall and goes through Haigh Woods","North West England","/wiki/Haigh,_Greater_Manchester","53.5761111111111","-2.595"
"212","Heaton Park Parkrun","Manchester, Greater Manchester","20 Jun 2009","In the Grade II listed Heaton Park and starts outside Heaton Hall","North West England","/wiki/Manchester","53.4794444444444","-2.24527777777778"
"213","Hyde Parkrun","Hyde, Greater Manchester","7 Jan 2017","Three laps of Hyde Park, Tameside, starting at the bandstand","North West England","/wiki/Hyde,_Greater_Manchester","53.4475","-2.08194444444444"
"214","Hyndburn Parkrun","Accrington, Lancashire","21 Oct 2017","At Wilson Playing Fields, Clayton-le-Moors, Accrington","North West England","/wiki/Accrington","53.7533333333333","-2.36388888888889"
"215","Keswick	 Parkrun","Keswick, Cumbria","4 Apr 2014","Runs along the disused Keswick Railway path with views of the River Greta","North West England","/wiki/Keswick,_Cumbria","54.6","-3.12916666666667"
"216","Kew Woods Parkrun","Kew, Merseyside","15 Dec 2018","Two laps of Kew Woods on a mixture of tarmac and trail. Undulating in parts.","North West England","/wiki/Kew,_Merseyside","53.63","-2.97805555555556"
"217","Knowsley Parkrun","Knowsley, Merseyside","10 Dec 2016","Two laps of Stadt Moers Park on trail and grass","North West England","/wiki/Knowsley,_Merseyside","53.4497222222222","-2.85"
"218","Lancaster Parkrun","Lancaster, Lancashire","9 Jan 2016","In Williamson Park created by James Williamson","North West England","/wiki/Lancaster,_Lancashire","54.0469444444444","-2.80111111111111"
"219","Lyme Park Parkrun","Disley, Cheshire","22 Feb 2014","At Grade I listed Lyme Park with views of the surrounding countryside[96][97]","North West England","/wiki/Disley","53.3569444444444","-2.04305555555556"
"220","Lytham Hall Parkrun","Lytham, Lancashire","28 Nov 2015","In the grounds of Grade I listed Lytham Hall","North West England","/wiki/Lytham","53.7425","-2.99694444444444"
"221","Macclesfield Parkrun","Macclesfield, Cheshire","28 Apr 2018","In the grounds of the Historic South Park in the centre of Macclesfield.","North West England","/wiki/Macclesfield","53.2580555555556","-2.1275"
"222","Marple Parkrun","Marple, Greater Manchester","26 May 2012","At Brabyns Park, a conservation area, mostly on grass and trail","North West England","/wiki/Marple,_Greater_Manchester","53.3969444444444","-2.06111111111111"
"223","Millom Parkrun","Millom, Cumbria","17 Dec 2016","A slow run due to mud and amongst the lowest average weekly participation","North West England","/wiki/Millom","54.2097222222222","-3.27027777777778"
"224","Nobles Parkrun","Douglas, Isle of Man","21 Oct 2017","The only Parkrun on the Isle of Man","North West England","/wiki/Douglas,_Isle_of_Man","54.145","-4.48194444444444"
"225","Northwich Parkrun","Northwich, Cheshire","31 Mar 2018","In Carey park near to the Anderton Boat Lift and Marbury Country Park","North West England","/wiki/Northwich","53.2588888888889","-2.51805555555556"
"226","Oldham	Parkrun","Oldham, Greater Manchester","24 Jul 2010","Three laps of Alexandra Park starting at the Lion's Den","North West England","/wiki/Oldham","53.5444444444444","-2.11694444444444"
"227","Ormskirk Parkrun","Ormskirk, Lancashire","29 Mar 2014","At Edge Hill University","North West England","/wiki/Ormskirk","53.5663888888889","-2.88694444444444"
"228","Pendle	Parkrun","Colne, Lancashire","10 May 2014","On Holt House playing fields, the home ground of Colne F.C.","North West England","/wiki/Colne","53.8552777777778","-2.17555555555556"
"229","Pennington Flash parkrun","Leigh, Greater Manchester","12 Mar 2011","At Pennington Flash Country Park, known for bird watching","North West England","/wiki/Leigh,_Greater_Manchester","53.4975","-2.515"
"230","Penrith	Parkrun","Penrith, Cumbria","8 Feb 2014","Starts at Frenchfield Sports Centre and passes Brougham Castle","North West England","/wiki/Penrith,_Cumbria","54.6647222222222","-2.75472222222222"
"231","Phoenix Parkrun","Runcorn, Cheshire","28 Jan 2017","At Phoenix Park adjacent to the 12th Century and Grade I Listed Norton Priory","North West England","/wiki/Runcorn","53.3411111111111","-2.72888888888889"
"232","Preston Parkrun","Preston, Lancashire","12 May 2012","In Avenham Park, a Grade II* listed park unchanged since 1861[98]","North West England","/wiki/Preston,_Lancashire","53.7588888888889","-2.69888888888889"
"233","Princes Parkrun","Liverpool, Merseyside","26 Nov 2011","Two laps of Prince's Park with Grade I listed Sefton Park half a mile away","North West England","/wiki/Liverpool","53.4","-2.98333333333333"
"234","Sale Water Parkrun","Sale, Greater Manchester","7 Oct 2017","At Sale Water Park which offers water sports and a wildlife refuge","North West England","/wiki/Sale,_Greater_Manchester","53.4238888888889","-2.32194444444444"
"235","South Manchester parkrun","Fallowfield, Manchester","14 Nov 2009","At Platt Fields Park containing a Boating Lake and Costume Gallery","North West England","/wiki/Fallowfield","53.4425","-2.21861111111111"
"236","Southport Parkrun","Southport, Lancashire","11 Jun 2016","Three laps of Hesketh Park on tarmac footpaths","North West England","/wiki/Southport","53.6475","-3.00527777777778"
"237","St Helens Parkrun","St Helens, Merseyside","5 Jul 2014","At Victoria Park, St Helens","North West England","/wiki/St_Helens,_Merseyside","53.4541666666667","-2.74611111111111"
"238","Stamford Park Parkrun","Stalybridge, Greater Manchester","2 May 2015","Two laps of Stamford Park boating lake","North West England","/wiki/Stalybridge","53.4833333333333","-2.04"
"239","Stretford Parkrun","Stretford, Greater Manchester","14 Nov 2015","At Longford Park next to Trafford Athletic Stadium","North West England","/wiki/Stretford","53.4466666666667","-2.30861111111111"
"240","Warrington Parkrun","Warrington, Cheshire","25 Jan 2014","In Victoria Park with views of the Manchester Ship Canal [99]","North West England","/wiki/Warrington","53.3916666666667","-2.59722222222222"
"241","Watergrove Parkrun","Wardle, Greater Manchester","7 Jun 2014","A hilly run with views of Watergrove Reservoir, Rochdale and Manchester[100]","North West England","/wiki/Wardle,_Greater_Manchester","53.6469444444444","-2.13194444444444"
"242","Whinlatter Forest Parkrun","Whinlatter, Cumbria","13 Jan 2018","A hilly trail run through Whinlatter Forest Park with views of Derwentwater[101]","North West England","/wiki/Whinlatter","54.6138888888889","-3.25194444444444"
"243","Widnes Parkrun","Widnes, Chehishre","17 Jan 2015","Three Laps of Victoria Park starting at the bandstand","North West England","/wiki/Widnes","53.3630555555556","-2.72805555555556"
"244","Wilmslow Parkrun","Wilmslow, Cheshire","11 Apr 2015","In The Carrs Park, two miles from Quarry Bank Mill[102]","North West England","/wiki/Wilmslow","53.325","-2.23888888888889"
"245","Witton Parkrun","Blackburn, Lancashire","29 Aug 2015","In Witton Country Park","North West England","/wiki/Blackburn","53.745","-2.47694444444444"
"246","Woodbank Parkrun","Stockport, Greater Manchester","22 Aug 2009","In Woodbank Park and crosses into neighbouring Vernon Park","North West England","/wiki/Stockport","53.4083333333333","-2.14944444444444"
"247","Workington Parkrun","Workington, Cumbria","22 Jun 2013","An out and back taking in Siddick Ponds Nature reserve","North West England","/wiki/Workington","54.6363888888889","-3.555"
"248","Worsley Woods Parkrun","Salford, Greater Manchester","3 Mar 2012","At Broadoak Park and Worsley Woods","North West England","/wiki/Salford,_Greater_Manchester","53.4830555555556","-2.29305555555556"
"249","Wythenshawe Parkrun","Wythenshawe, Manchester","6 Aug 2011","In Wythenshawe Park starting at Wythenshawe Hall","North West England","/wiki/Wythenshawe","53.3919444444444","-2.26388888888889"
"250","Antrim Parkrun","Antrim, County Antrim","28 Sept 2013","At Loughshore Park, adjacent to Antrim Castle gardens and run on gravel and bitmac paths","Northern Ireland","/wiki/Antrim,_County_Antrim","54.7172222222222","-6.20555555555556"
"251","Armagh Parkrun","Armagh, County Armagh","12 Oct 2013","At Palace Demesne Public Park on a mixture of natural woodland, tarmac paths and grass","Northern Ireland","/wiki/Armagh","54.35","-6.65472222222222"
"252","Bangor Parkrun","Bangor, County Down","29 Mar 2014","At Ward Park run entirely on bitmac paths","Northern Ireland","/wiki/Bangor,_County_Down","54.6666666666667","-5.66666666666667"
"253","Belfast Victoria Parkrun","Belfast, Northern Ireland","7 May 2011","At Victoria Park comprising three outer laps of the lake on tarmac and trail paths","Northern Ireland","/wiki/Belfast","54.5963888888889","-5.93"
"254","Carrickfergus	Parkrun","Amphitheatre Wellness Centre","01/02/2014","Run on a mixture of tarmac paths and trail paths","Northern Ireland",NA,"",""
"255","Castlewellan	Parkrun","Castlewellan Forest Park","23/09/2017","The course is run entirely on trail paths","Northern Ireland",NA,"",""
"256","Citypark	Parkrun","Citypark Park, Craigavon","11/08/2012","Run on relatively level bitmac paths","Northern Ireland",NA,"",""
"257","Colin Glen	Parkrun","Colin Glen Forest Park","10/10/2015","Run on a mixture of tarmac paths and metal bridge","Northern Ireland",NA,"",""
"258","Comber	Parkrun","Parkway, Comber","31/05/2014","The course is run on a mixture of tarmac paths and gravel paths","Northern Ireland",NA,"",""
"259","Derry City	Parkrun","City Centre, adjacent to the River Foyle","29/06/2013","Run on a mixture of paving and bitmac paths","Northern Ireland",NA,"",""
"260","Dungannon Park	Parkrun","Dungannon Park, Dungannon","18/08/2018","Run on a mixture of concrete paths, gravel paths and trail paths","Northern Ireland",NA,"",""
"261","Ecos	Parkrun","Ecos Park, Ballymena","31/03/2012","Run mainly on tarmac footpaths","Northern Ireland",NA,"",""
"262","Enniskillen	Parkrun","Fermanagh Lakeland Forum, Enniskillen","13/04/2013","Run on a mixture of tarmac paths, gravel paths, trail paths, concrete paths and gravel running track","Northern Ireland",NA,"",""
"263","Falls	Parkrun","Falls Park, Falls Road","26/05/2012","Run entirely on tarmac footpaths","Northern Ireland",NA,"",""
"264","Larne	Parkrun","Carnfunnock Country Park","09/11/2013","Run on a mixture of tarmac paths, gravel paths and trail paths","Northern Ireland",NA,"",""
"265","Lower Drummans Parkrun","Magilligan Prison","06/01/2018","This event takes place within the grounds of a closed prison, and as such is currently not accessible to members of the public","Northern Ireland",NA,"",""
"266","Limavady	Parkrun","Blackburn Park, Limavady","28/03/2015","course is run entirely on tarmac paths","Northern Ireland",NA,"",""
"267","MUSA Cookstown	Parkrun","Loughry Campus, Cookstown","18/05/2013","The course is run entirely on tarmac paths","Northern Ireland",NA,"",""
"268","Omagh	Parkrun","Omagh Leisure Complex, Omagh","08/10/2016","The course is run on a mixture of running track , tarmac paths and grass","Northern Ireland",NA,"",""
"269","Orangefield	Parkrun","Orangefield & Greenville Park","04/08/2018","Course is run on a mixture of concrete paths and trail paths","Northern Ireland",NA,"",""
"270","Ormeau	Parkrun","Ormeau Park, Ormeau Road,","22/06/2013","The course is run entirely on bitmac path","Northern Ireland",NA,"",""
"271","Portrush	Parkrun","East Strand Beach, Portrush","08/09/2012","This is the first beach parkrun in the world which is run entirely on the sand. It is a there-and-back course that starts at one end of the beach voted Britain's best Parkrun in 2017","Northern Ireland",NA,"",""
"272","Queens	Parkrun","Queen's University Sport at Upper Malone","25/02/2012","run on a gravel surface","Northern Ireland",NA,"",""
"273","Rostrevor	Parkrun","Kilbroney Park, Rostrevor","26/11/2016","course is run on a mixture of tarmac paths and trail paths","Northern Ireland",NA,"",""
"274","Stormont	Parkrun","Stormont Estate, Belfast","29/08/2015","The course is run on a mixture of tarmac paths, gravel paths and trail paths","Northern Ireland",NA,"",""
"275","Stranmillis	Parkrun","Stranmillis University College, Belfast","02/02/2019","The course is run entirely on tarmac paths","Northern Ireland",NA,"",""
"276","Valley	Parkrun","Valley Leisure Centre, Newtownabbey","09/08/2014","The course is run entirely on tarmac paths","Northern Ireland",NA,"",""
"277","Wallace	Parkrun","Wallace Park, Lisburn","02/03/2013","The course is run entirely on tarmac paths","Northern Ireland",NA,"",""
"278","Waterworks	Parkrun","Waterworks Park","06/11/2010","The course is run entirely on tarmac paths","Northern Ireland",NA,"",""
"279","Aberdeen Parkrun","Aberdeen","8 Oct 2011","The course is an out and back route, along Aberdeen Beach Esplenade.","Scotland","/wiki/Aberdeen","57.15","-2.11666666666667"
"280","Alness Parkrun","Alness, Highland","26 Aug 2017","At Crawl Park on grass and trail paths","Scotland","/wiki/Alness","57.695","-4.25805555555556"
"281","Aviemore Parkrun","Aviemore, Highland","6 May 2017","An undulating out and back course on a scenic stretch of the Speyside Way","Scotland","/wiki/Aviemore","57.1938888888889","-3.82305555555556"
"282","Ayr Parkrun","Ayr, South Ayrshire","20 Sep 2014","At Rozelle Park","Scotland","/wiki/Ayr","55.4586111111111","-4.62916666666667"
"283","Bressay Parkrun","Bressay, Shetland","20 Jan 2018","An out and back on tarmac paths","Scotland","/wiki/Bressay","60.15","-1.08333333333333"
"284","Camperdown Parkrun","Camperdown, Dundee","19 May 2012","Takes place in Camperdown Country Park.","Scotland","/wiki/Camperdown,_Dundee","56.4838888888889","-3.04416666666667"
"285","Crathes Castle Parkrun","Banchory, Aberdeenshire","9 February 2019","Takes place in the grounds of National Trust for Scotland property Crathes Castle.","Scotland","/wiki/Banchory","57.055","-2.49"
"286","Crichton Parkrun","Dumfries, Dumfries and Galloway","6 Jan 2018","Run at The Crichton starting near the memorial church","Scotland","/wiki/Dumfries","55.07","-3.60305555555556"
"287","Drumchapel Parkrun","Drumchapel, Glasgow","4 Jun 2016","Takes place in Garscadden Woods, a  Forestry Commission Scotland protected woodland.","Scotland","/wiki/Drumchapel","55.905","-4.36083333333333"
"288","Dunfermline Parkrun","Dunfermline, Fife","4 Jul 2015","The course is 3 laps, located in Pittencrieff Park.","Scotland","/wiki/Dunfermline","56.0719444444444","-3.43916666666667"
"289","Edinburgh Parkrun","Cramond, Edinburgh","17 Oct 2009","The course is an out and back along Cramond Promenade.","Scotland","/wiki/Cramond","55.9883333333333","-3.30111111111111"
"290","Eglinton Parkrun","Irvine, North Ayrshire","16 Mar 2013","The course is located in Eglinton Country Park.","Scotland","/wiki/Irvine,_North_Ayrshire","55.62","-4.66138888888889"
"291","Elgin Parkrun","Elgin, Moray","5 Mar 2016","","Scotland","/wiki/Elgin,_Moray","57.65","-3.315"
"292","Ellon Parkrun","Ellon, Aberdeenshire","17 Oct 2017","","Scotland","/wiki/Ellon,_Aberdeenshire","57.3661111111111","-2.08611111111111"
"293","Falkirk Parkrun","Falkirk, Falkirk","16 Jul 2011","The course is located in Callendar Park.","Scotland","/wiki/Falkirk","56.0011111111111","-3.78361111111111"
"294","Fort William Parkrun","Fort William, Highland","7 Apr 2018","","Scotland","/wiki/Fort_William,_Highland","56.8197222222222","-5.10527777777778"
"295","Ganavan Sands Parkrun","Oban, Argyll and Bute","20 Aug 2016","","Scotland","/wiki/Oban","56.4119444444444","-5.47194444444444"
"296","Girvan Prom Parkrun","Girvan, South Ayrshire","28 Jul 2018","","Scotland","/wiki/Girvan","55.2383333333333","-4.85611111111111"
"297","Greenock Parkrun","Greenock, Inverclyde","17 May 2014","The course is located on Greenock Esplanade.","Scotland","/wiki/Greenock","55.95","-4.765"
"298","Hay Lodge Parkrun","Peebles, Scottish Borders","3 Nov 2018","Three laps of Hay Lodge Park.","Scotland","/wiki/Peebles","55.65","-3.18333333333333"
"299","Hazlehead Parkrun","Hazlehead, Aberdeen","16 Aug 2014","","Scotland","/wiki/Hazlehead,_Aberdeen","57.1377777777778","-2.18138888888889"
"300","Inverness Parkrun","Inverness, Highland","3 Sep 2011","","Scotland","/wiki/Inverness","57.4716666666667","-4.22527777777778"
"301","Kirkcaldy Parkrun","Kirkcaldy, Fife","14 Feb 2015","","Scotland","/wiki/Kirkcaldy","56.1108333333333","-3.1675"
"302","Kirkwall Parkrun","Kirkwall, Orkney","21 Apr 2018","","Scotland","/wiki/Kirkwall","58.9811111111111","-2.96"
"303","Lanark Moor Parkrun","Lanark, South Lanarkshire","11 Aug 2018","The course is 2 loops, one of Lanark Loch and the other of Lanark Moor Cycle Trail, located in Lanark Moor Country Park, next to Lanark Racecourse.","Scotland","/wiki/Lanark","55.675","-3.77694444444444"
"304","Linwood Parkrun","Linwood, Renfrewshire","9 Jul 2016","","Scotland","/wiki/Linwood,_Renfrewshire","55.8469444444444","-4.50194444444444"
"305","Livingston Parkrun","Livingston, West Lothian","9 Jan 2016","The course is located in Almondvale Park.","Scotland","/wiki/Livingston,_West_Lothian","55.8833333333333","-3.51583333333333"
"306","Loch Leven Parkrun","Kinross, Perth and Kinross","11 Aug 2018","The course is 2 and a half loops on Loch Leven Heriatge Trail, between Loch Leven and the village of Wester Balgedie.","Scotland","/wiki/Kinross","56.2","-3.41666666666667"
"307","Lochend Woods Parkrun","Dunbar, East Lothian","23 March 2019","The course is two laps from Hallhill Sports Centre through Lochend Woods in Dunbar.","Scotland","/wiki/Dunbar","56.0027777777778","-2.51694444444444"
"308","Lochore Meadows Parkrun","Lochore, Fife","19 May 2018","The course is around Loch Ore, located in Lochore Meadows Country Park.","Scotland","/wiki/Lochore","56.1558333333333","-3.32333333333333"
"309","Meadowmill Parkrun","Tranent, East Lothian","9 February 2019","The course is two laps around Meadowmill Sports Centre, between Tranent and Prestonpans.","Scotland","/wiki/Tranent","55.945","-2.95388888888889"
"310","Montrose Parkrun","Montrose, Angus","8 Jul 2017","","Scotland","/wiki/Montrose,_Angus","56.7080555555556","-2.46694444444444"
"311","Perth Parkrun","Perth, Perth and Kinross","30 Nov 2013","The course is a ‘lollypop’ shaped course along the lovely river Tay. It is very flat, mainly on paths with a section on firm grass.","Scotland","/wiki/Perth,_Scotland","56.3969444444444","-3.43694444444444"
"312","Plean Parkrun","Plean, Stirling","18 Nov 2017","","Scotland","/wiki/Plean","56.0611111111111","-3.87111111111111"
"313","Pollok Parkrun","Pollok, Glasgow","6 Dec 2008","The course is located in Pollok Country Park.","Scotland","/wiki/Pollok","55.8247222222222","-4.3525"
"314","Portobello Parkrun","Portobello, Edinburgh","18 Apr 2015","Three laps of Figgate Park.","Scotland","/wiki/Portobello,_Edinburgh","55.9530555555556","-3.11388888888889"
"315","Ruchill Parkrun","Ruchill, Glasgow","15 Apr 2017","The course is two and a half laps of the renowned whale-shaped route in Ruchill Park.","Scotland","/wiki/Ruchill","55.8869444444444","-4.27027777777778"
"316","Springburn Parkrun","Springburn, Glasgow","10 May 2014","","Scotland","/wiki/Springburn","55.8830555555556","-4.22861111111111"
"317","St Andrews Parkrun","St Andrews, Fife","21 Apr 2012","The course is three laps of the park perimeter, located in Craigtoun Country Park.","Scotland","/wiki/St_Andrews","56.3402777777778","-2.79555555555556"
"318","Stonehaven Parkrun","Stonehaven, Aberdeenshire","10 Sep 2016","The course consists of 3 anti-clockwise laps of Mineralwell Park.","Scotland","/wiki/Stonehaven","56.9638888888889","-2.21111111111111"
"319","Strathclyde Parkrun","Motherwell, South Lanarkshire","10 Apr 2010","The course is located in Strathclyde Country Park.","Scotland","/wiki/Motherwell","55.7838888888889","-3.98527777777778"
"320","Thurso Parkrun","Thurso, Highland","14 Apr 2018","","Scotland","/wiki/Thurso","58.5961111111111","-3.52111111111111"
"321","Tollcross Parkrun","Tollcross, Glasgow","4 May 2013","The course is 2 and a half laps, located in Tollcross Park","Scotland","/wiki/Tollcross,_Glasgow","55.8436111111111","-4.17194444444444"
"322","Troon Parkrun","Troon, South Ayrshire","2 Dec 2017","The course is an out and back route, along Troon South Beach Esplanade.","Scotland","/wiki/Troon","55.5333333333333","-4.66666666666667"
"323","Victoria Parkrun","Whiteinch, Glasgow","12 Oct 2013","The course is 3 laps, located in Victoria Park","Scotland","/wiki/Whiteinch","55.8722222222222","-4.33166666666667"
"324","Vogrie Parkrun","Gorebridge, Midlothian","11 Mar 2017","The course is 2 loops, located in Vogrie Country Park.","Scotland","/wiki/Gorebridge","55.8436111111111","-3.05"
"325","Abingdon parkrun","Abingdon, Oxfordshire","7 May 2011","Two clockwise laps along the Thames Path and around Rye Meadow.","South East England","/wiki/Abingdon-on-Thames","51.6669444444444","-1.28305555555556"
"326","Alice Holt parkrun","Hampshire","17 Nov 2012","","South East England","/wiki/Hampshire","51.0577777777778","-1.30805555555556"
"327","Andover parkrun","Hampshire","16 Jul 2011","","South East England","/wiki/Hampshire","51.0577777777778","-1.30805555555556"
"328","Ashford parkrun","Kent","26 Oct 2013","The course is two laps of the park in an anti-clockwise direction. The course is around the fountain and follows the cycle/footpath for about 1km before veering off to the right in a loop. At the end of the loop, return right along the path keeping to the right and then taking the 2nd right turn which is an S bend with a slight hill back to the start. After two laps, pass the start again and take first left and first left again onto the main park path making a small loop and the finish funnel is on the grass.","South East England",NA,"",""
"329","Aylesbury parkrun","","2 Nov 2013","","South East England",NA,"",""
"330","Banbury parkrun","Spiceball Park","27 Sep 2014","The winter course is 3 laps in an anti-clockwise direction. Whilst most of the course is on path there are a number of off road parts.","South East England",NA,"",""
"331","Banstead Woods parkrun","","16 Jun 2007","This course is just under 2 laps on trail paths, with a steep hill around the half-way point. This is the third oldest parkrun after Wimbledon Common and Bushy Park.","South East England",NA,"",""
"332","Basingstoke parkrun","Hampshire","5 Jul 2008","","South East England","/wiki/Hampshire","51.0577777777778","-1.30805555555556"
"333","Bedgebury Pinetum parkrun","","19 Mar 2016","","South East England",NA,"",""
"334","Bevendean Down parkrun","","6 Feb 2016","","South East England",NA,"",""
"335","Bicester parkrun","","16 Apr 2016","","South East England",NA,"",""
"336","Black Park parkrun","Black Park, near Slough","18 Jul 2009","One lap on trail paths around Black Park Country Park in Wexham, near Slough.","South East England","/wiki/Black_Park","51.5361111111111","-0.547222222222222"
"337","Bognor Regis parkrun","","24 May 2014","","South East England",NA,"",""
"338","Bracknell parkrun","Bracknell, Berkshire","4 Apr 2015","The course is two and a half anti-clockwise laps around playing fields and through woods in Great Hollands Recreation Ground.","South East England","/wiki/Bracknell","51.4161111111111","-0.748888888888889"
"339","Brighton & Hove parkrun","","3 Nov 2007","","South East England",NA,"",""
"340","Brockenhurst parkrun","Hampshire","25 May 2013","","South East England","/wiki/Hampshire","51.0577777777778","-1.30805555555556"
"341","Buckingham parkrun","","17 May 2014","","South East England",NA,"",""
"342","Canterbury parkrun","Kent","15 Mar 2014","","South East England",NA,"",""
"343","Chichester parkrun","","2 Aug 2014","","South East England",NA,"",""
